county_fips,county_name,state,rank,priority,gap_score,need_score,unserved_people,coverage_gap,Population,Median Household Income,Poverty Rate,Median Age
12097,Osceola,Florida,57,0.127297748130033,0.0315414915796163,0.3507290134143387,24847.06302477796,0.0610578459999999,406943,68711,12.5,37.0
12003,Baker,Florida,58,0.1236972978111905,0.0202328555339719,0.3651143297913674,16192.992067311998,0.5745047919999999,28186,70833,13.1,38.1
12131,Walton,Florida,59,0.1174906813891789,0.0224690655388209,0.3392077850400142,17904.278908594,0.224235139,79846,79281,11.4,43.8
12095,Orange,Florida,60,0.1163475917128043,0.0439727692001629,0.2852221775756344,34360.249070022,0.023853482,1440471,77011,13.0,36.4
12091,Okaloosa,Florida,61,0.0983438323477473,0.0598767250860653,0.1881004159583386,46530.944296704,0.217149184,214281,79097,9.3,37.3
12089,Nassau,Florida,62,0.0885947488396988,0.022880472511774,0.2419280602715233,18219.113086823992,0.1924832079999999,94653,88900,9.2,46.3
12129,Wakulla,Florida,63,0.0807850679128779,0.0232715209142222,0.2149833442430745,18518.367621936,0.535089217,34608,74183,5.6,42.5
12113,Santa Rosa,Florida,64,0.0766499746883234,0.0560719832057984,0.1246652881475484,43619.31940456198,0.2251679979999999,193719,88968,8.4,40.0
12019,Clay,Florida,65,0.0733418939522136,0.0322126729698877,0.1693100762443075,25360.692728067977,0.1135031629999999,223436,86094,9.1,40.2
12117,Seminole,Florida,66,0.0644659319843049,0.0101630143624822,0.191172739768558,8486.923919328001,0.017870519,474912,83030,9.2,39.8
12109,St. Johns,Florida,67,0.0035949021015291,0.0051355744307559,0.0,4639.61450659697,0.0158758789999999,292243,106169,6.7,44.0
